field	dataType	sourceField	multi	storedAsArray	extraFields	isMiscProperty
id	string	uuid	F	F		F
row_key	string	rowKey	F	F		F
occurrence_id	string	occurrenceID	F	F		F
data_hub_uid	string	dataHubUid	T	T	T	F
data_hub	string	dataHub.p	F	F	F	F
data_provider_uid	string	dataProviderUid.p	F	F	dataProviderUid	F
data_provider	string	dataProviderName.p	F	F	dataProviderName	F
data_resource_uid	string	dataResourceUid	F	F	dataResourceUid.p	F
data_resource	string	dataResourceName.p	F	F	dataResourceName	F
institution_uid	string	institutionUid.p	F	F		F
institution_code	string	institutionCode	F	F		F
institution_name	string	institutionName.p	F	F		F
collection_uid	string	collectionUid.p	F	F		F
collection_code	string	collectionCode	F	F		F
collection_name	string	collectionName.p	F	F		F
catalogue_number	string	catalogNumber	F	F		F
taxon_concept_lsid	string	taxonConceptID.p	F	F		F
occurrence_date	date	eventDate.p	F	F		F
# occurrence_year - need to ensure length of 4 and append "-01-01T00:00:00Z"	F
# occurrence_decade_i - truncate occurrence_year to end with 0
taxon_name	string	scientificName.p	F	F		F
raw_taxon_name	string	scientificName	F	F		F
common_name	string	vernacularName.p	F	F		F
names_and_lsid	string	scientificName.p,taxonConceptID.p,vernacularName.p,kingdom.p,family.p	F	F		F
common_name_and_lsid	string	vernacularName.p,scientificName.p,taxonConceptID.p,kingdom.p,family.p	F	F		F
rank	string	taxonRank.p	F	F		F
rank_id	int	taxonRankID.p	F	F		F
# raw_taxon_name - need to construct a raw scientific name if the scientific name does not exist	F
raw_common_name	string	vernacularName	F	F		F
# multimedia - if length of images.p > 3 then Multimedia else None	F
# image_url	- images.p(0)
species_group	string	speciesGroups.p	T	T		F
country_code	string	countryCode	F	F		F
country	string	country.p	F	F		F
lft	int	left.p	F	F		F
rgt	int	right.p	F	F		F
kingdom	string	kingdom.p	F	F		F
phylum	string	phylum.p	F	F		F
class	string	classs.p	F	F		F
order	string	order.p	F	F		F
family	string	family.p	F	F		F
genus	string	genus.p	F	F		F
genus_guid	string	genusID.p	F	F		F
species	string	species.p	F	F		F
species_guid	string	speciesID.p	F	F		F
subspecies	string	subspecies.p	F	F		F
state	string	stateProvince.p	F	F		F
imcra	string	imcra.p	F	F		F
ibra	string	ibra.p	F	F		F
places	string	lga.p	F	F		F
latitude	double	decimalLatitude.p	F	F		F
longitude	double	decimalLongitude.p	F	F		F
# lat_long - comma concat of decimalLatitude.p,decimalLongitude.p	F
# point-1 - coordinates rounded to the supplied precision	F
# point-0.1	F
# point-0.01	F
# point-0.02    F
# point-0.001	F
# point-0.0001	F
year	string	year.p	F	F		F
month	string	month.p	F	F		F
basis_of_record	string	basisOfRecord.p	F	F		F
raw_basis_of_record	string	basisOfRecord	F	F		F
type_status	string	typeStatus.p	F	F		F
raw_type_status	string	typeStatus	F	F		F
taxonomic_kosher	string	taxonomicallyKosher	F	F		F
# geospatial_kosher - only test for value if the lat/long are supplied 	F
# assertions - need to obtain a list of assertions that have failed	F
location_remarks	string	locationRemarks	F	F		F
occurrence_remarks	string	occurrenceRemarks	F	F		F
# citation - not being used at the moment	F
user_assertions	string	userQualityAssertion	F	F		F
# system_assertions - if length of qualityAssertion > 3 true else false	F
user_id	string	recordedBy	F	F		F
collector	string	recordedBy	F	F		F
# state_conservation - first value of CSV stateConservation.p	F
# raw_state_conservation - second value of stateConservation.p	F
# sensitive - when dataGeneralizations.p contains "already generalised" then alreadyGeneralised when originalSensitiveValues.length >3 then generalised	F
coordinate_uncertainty	double	coordinateUncertaintyInMeters.p	F	F		F
provenance	string	provenance.p	F	F		F
# subspecies_guid - if rankid > 7000 taxonConceptID.p	F
# subspecies_name - if rank_id > 7 then scientificName.p	F
interaction	string	interactions.p	T	T		F
last_assertion_date	date	lastUserAssertionDate	F	F		F
last_load_date	date	lastModifiedTime	F	F		F
last_processed_date	date	lastModifiedTime.p	F	F		F
modified_date	date	modified.p	F	F		F
establishment_means	string	establishmentMeans.p	T	F		F
loan_number	string	loanSequenceNumber	F	F		F
loan_identifier	string	loanIdentifier	F	F		F
loan_destination	string	loanDestination	F	F		F
loan_botanist	string	loanForBotanist	F	F		F
loan_date	date	loanDate	F	F		F
loan_return_date	date	loanReturnDate	F	F		F
original_name_usage	string	originalNameUsage	F	F	typifiedName	F
duplicate_inst	string	duplicates	T	F		F
record_number	string	recordNumber	F	F		F
first_loaded_date	date	firstLoaded	F	F		F
name_match_metric	string	nameMatchMetric.p	F	F		F
life_stage	string	phenology	F	F		F
outlier_layer	string	outlierForLayers.p	T	T		F
# outlier_layer_count - based on the count in outlier_layer	F
taxonomic_issue	string	taxonomicIssue.p	F	F		F
raw_identification_qualifier	string	identificationQualifier	F	F		F
species_habitats	string	speciesHabitats.p	T	T		F
identified_by	string	identifiedBy	F	F		F
identified_date	date	dateIdentified.p	F	F		F
# sensitive_latitude - extracted from original values	F
# sensitive_longitude -extracted from original values	F
OriginalSeedQuantity_i	integer	OriginalSeedQuantity	F	F		T
AdjustedSeedQuantity_i	integer	AdjustedSeedQuantity	F	F		T
CurrentSeedQuantity_i	integer	CurrentSeedQuantity	F	F		T
ViabilitySummary_d	double	ViabilitySummary	F	F		T
elevation_d	double	verbatimElevation.p	F	F		F
min_elevation_d	double	minimumElevationInMeters.p	F	F		F
max_elevation_d	double	maximumElevationInMeters.p	F	F		F
depth_d	double	verbatimDepth.p	F	F		F
min_depth_d	double	minimumDepthInMeters.p	F	F		F
max_depth_d	double	maximumDepthInMeters.p	F	F		F
raw_latitude	string	decimalLatitude	F	F		F
raw_longitude	string	decimalLongitude	F	F		F
raw_locality	string	locality	F	F		F
raw_sex	string	sex	F	F		F
raw_datum	string	geodeticDatum	F	F		F
collector_text	string	recordedBy	F	F		F
collectors	string	recordedBy.p	F	F		F
duplicate_record	string	associatedOccurrences.p	T	T		F
duplicate_status	string	duplicationStatus.p	T	T		F
duplicate_type	string	duplicationType.p	T	T		F
event_id	string	eventID	F	F		F
location_id	string	locationId	F	F		F
occurrence_details	string	occurrenceDetails	F	F		F
photographer_s	string	photographer	F	F		F
record_type	string	basisOfRecord.p	F	F		F
rights	string	rights	F	F		F
alau_user_id	string	userId	F	F		F
all_image_url	string	images.p	T	T		F
# assertions_missing - assertions missing
# assertions_passed - assertions passed
# assertions_unchecked - assertions unchecked
dataset_name	string	datasetName	F	F		F
distance_outside_expert_range	double	distanceOutsideExpertRange.p	F	F		F
# query_assertion_type_s - queryAssertions.p keys list
